text,class,topic
The RNG will make or break your run.,-1,balance
"This game gets high marks for style, originality and creativity",1,art
and awful marks for actual gameplay and a satisfying ending.,-1,gameplay
"This is not ""really"" a rogue like.",0,
"There is an optimal way to play, a precise strategy you HAVE to follow, combined with luck on events and that is it.",0,
"Nearly every decision has an optimal path to pick and often which that is, is impossible to actually tell in advance.",0,
"The only way to actually complete the game is to either play over and over and over again(using the same precise optimal build order every time), or, well... do that and also get lucky so as to not be screwed on random events?",0,
"You could also literally take notes on the outcome of every event until you know what the optimal chocie is every time, gee, that sure is fun!",0,
"I don't mean notes in the game, I mean actually write them down yourself.",0,
"Also, assuming you don't pause at all it is literally impossible to complete the game in less than 42 minutes due to the way the timer works, so you will have to keep trying a 42 minute session over and over and over and over and over(and over and over and over and over and over and over and over and over and over) until you get lucky.",0,
There is no strategy and no choice here.,-1,balance
"So, I have to give it a negative review.",0,
"It has a strong start, until you realize the above, then the game is bland and boring and the humor wears thin after you see the same jokes 20 times.",-1,humor
A lot of the management options are fairly simple.,0,
"Figure out what to upgrade when and bam, the core of the game has been completed.",0,
"This, however, doesn't mean you'll win.",0,
"You'll have to go through these absurd, arbitrary events who almost all have some options which for no real reason will permanently handicap your game and literally cause you to lose.",0,
"So in order to win this game, the primary thing you should do is to memorize all of these absolute absurd events and what the effects of the different choices are, not actually think strategically about your management of the humans.",-1,gameplay
I can't stress how frustrating this is.,-1,fun
"When I play a small game like this I just want to unwind, not get kicked in-between my legs for not realizing that spending 1680~ energy instead of 800~ energy will cause my humans to die at random when carried around and give no benefits what-so-ever.",0,
put the humans in the bioreactor,0,
"This game is a mix of Cookie Clicker and resource management, with punishing resource management.",0,
"The ""events"" in game are so ludicrous and nonsensical, which at first is whimsical, until you realize you are badly losing games due to these events, cause you to re-play the first boring ten minutes over and over until you figure out all the events (or look them up).",-1,balance
"The actual mechanics are at first interesting, but then quickly become frustrating and punishing as upgrading things out of order can sometimes make you lose the game entirely.",-1,gameplay
"I get that that's the point, but it's still a frustrating mechanic.",0,
"If there was a chance to rewind the game a minute or so after major mistakes, it'd be more interesting.",0,
"By the time I beat the first campaign and moved to the second (about 6 hours), I'd already completely lost interest in the mechanics.",0,
"There's nearly no replayability, even with the different avatars I've unlocked.",-1,gameplay
It's literally impossible to get enough energy.,0,
"Max out the wheel every time, max out reproduction chamber, and throw every excess body into the reactor as soon as they spawn and yet it's still not enough to keep up with the increasing power draw.",0,
Resource manager about angry AI who controls a human farm.,0,
"You need to produce power, food and humans to survive time race.",0,
Black humor and lots of easter eggs.,1,humor
"Fun, but too easy and way too short.",-1,playtime
The top was quoted from another reviewer which really fits  the bill.,0,
"This game could do so much more, more machines, events etc.",0,
"As it stands it's pretty fun and man the humor is dark but you will laugh, as we are all twisted souls who would buy this game.",1,humor
Rather alright for a few hours of entertainment.,1,playtime
The game is not really about management and exploring what strategies work better or worse.,0,
You will soon realize that there's one very specific order and path you need to push development in.,0,
"The mechanics are not entirely balanced, especially towards the end of the game.",-1,balance
There's a random event each day and you will soon learn most of the events and which option is the correct one to choose.,-1,balance
Not a whole lot of replayability.,-1,gameplay
But the important thing is that you can still have fun for a few hours.,1,fun
"Enjoy the music, throw some puny meatbags into the orgy pits and feed their young to the meat grinder.",1,sound
"I love the details in the graphics, enjoyed the soundtrack and audio, and the story and humor gave it flavor.",1,gameplay
I'm glad I stuck with it past the initial frustratingly short games.,1,playtime
